,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
12/21/2022,Beau,263667,9.9,5/3/2020,962,32.07,Canine,BPV,109,BPV,109,N,2.76,0.05,136.09,0.08,n/a,80,NB,769,12.82,11.97
12/21/2022,Georgia,482077,5.2,8/25/2022,118,3.93,Canine,PDA,51,PDA,51,N,6.33,0.01,1.72,0.97,2.87,NB ,NB,264,4.40,1.28
12/28/2022,Emmi,481167,23.1,12/17/2021,376,12.53,Canine,PV stent,145,PV stent,145,N,4.58,2,132.27,2.19,2.56,70,40,1008,16.80,20.61
12/28/2022,Felix ,476045,9.5,4/9/2022,263,8.77,Canine,PV stent ,105,PV stent ,105,N,14.39,0.28,95.54,1.85,2.56,50,10,1545,25.75,12.82
1/4/2023,Beans,481365,2.3,9/20/2022,106,3.53,Canine,BPV,180,BPV,180,N,0.01,0.02,15.13,1.05,n/a,10,NB,70,1.17,0.11
1/4/2023,Tate ,271257,12.7,10/11/2021,450,15.00,Canine,BPV,65,BPV,65,N,1.28,0.01,7.76,0.09,n/a,13.2,10,295,4.92,2.96
1/11/2023,Olive,478314,6.32,7/5/2022,190,6.33,Canine,BPV,120,BPV,120,N,2.66,0.02,3.94,4.03,NB,10,100,725,12.08,3.87
1/13/2023,Bentley ,482906,10.8,8/11/2009,4903,163.43,Canine,PMI,157,PMI,157,N,5.63,0.01,55.68,n/a,6.88,10,80,787,13.12,6.24
1/18/2023,Flora,481783,14.3,8/21/2021,515,17.17,Canine,BPV,49,BPV,49,N,0.8,0,11.87,NB,n/a,20,100,204,3.40,2.99
1/18/2023,Simon ,479837,4.03,2/15/2018,1798,59.93,Canine,PDA,88,PDA,88,N,0.23,0,11.32,NB,10,10,NB,222,3.70,0.63
1/25/2023,Tutu,482153,15.4,12/8/2021,413,13.77,Canine,BPV,90,BPV,90,N,0.05,0.01,15.26,4.23,n/a,33.95,350,1240,20.67,17.84
1/25/2023,Popper,482406,6.7,10/14/2022,103,3.43,Canine,PDA,50,PDA,50,N,0.02,0.05,0.95,1.15,n/a,0.54,NB,119,1.98,0.52
1/25/2023,Oliver,482303,15.7,9/21/2022,126,4.20,Canine,PDA,150,PDA,150,N,0.21,0.15,20.09,5.22,11.62,5.42,20,1006,16.77,11.61
2/8/2023,Luna ,482281,12.6,10/18/2022,113,3.77,Canine,BPV,75,BPV,75,N,1.17,0,3.18,0.15,n/a,9.81,1.92,419,6.98,3.40
2/8/2023,Benny,480816,10.6,11/13/2015,2644,88.13,Canine,PDA,78,PDA,78,N,0.08,0,19.07,7.58,2.33,6.32,0.05,305,5.08,2.52
2/10/2023,Callie,483725,18.6,6/30/2015,2782,92.73,Canine,PMI,118,PMI,118,N,0.08,0.08,6.91,0.82,n/a,2.38,NB,153,2.55,1.21
2/15/2023,Iroh,482952,14.4,5/3/2022,288,9.60,Canine,PDA,98,PDA,98,N,0.03,0.46,3.43,1.33,1.89,1.02,26.32,189,3.15,1.58
2/15/2023,Whiskey,482636,4.6,7/30/2022,200,6.67,Canine,PDA,70,PDA,70,N,13.54,0.18,15.87,1.18,0.21,7.04,NB,113,1.88,0.27
2/22/2023,Stone,483363,24.4,7/22/2021,580,19.33,Canine,BPV,70,BPV,70,N,1.64,1.23,12.49,12.83,13.41,36.82,5.55,482,8.03,6.97
2/22/2023,Lily,483913,27.6,2/10/2014,3299,109.97,Canine,PMI,75,PMI,75,N,0.15,0.79,8.4,n/a,n/a,1.02,NB,195,3.25,2.02
3/1/2023,Mayberry,484036,23.8,11/18/2018,1564,52.13,Canine,PDA,110,PDA,110,N,0.92,0.26,2.33,1.44,3.77,1.82,NB,150,2.50,3.51
3/15/2023,CJ,472892,15.4,4/25/2021,689,22.97,Canine,BPV,45,BPV,45,N,2.15,0,14.93,3.76,n/a,17.46,NB,258,4.30,4.52
3/22/2023,Moo ,265977,16,10/2/2020,901,30.03,Canine,BPV,85,BPV,85,N,0.03,0.08,15.17,12.79,n/a,1.89,NB,610,10.17,7.51
3/29/2023,Whiskey,484602,26.3,8/22/2019,1315,43.83,Canine,BPV,63,BPV,63,N,0.23,0.06,36.92,10.86,0.54,62.13,140,635,10.58,20.93
3/29/2023,Huckleberry Hound,485506,18.7,8/19/2022,222,7.40,Canine,BPV,61,BPV,61,N,0.92,0.06,7.4,3.02,NB,3,190,507,8.45,8.61
4/5/2023,Phinias,484852,9.2,12/23/2022,103,3.43,Canine,BPV,65,BPV,65,N,0.13,0,54.3,0.41,n/a,21.56,60,395,6.58,6.55
4/5/2023,Sadie Mae,241517,12.7,3/23/2019,1474,49.13,Canine,BPV,130,BPV,130,N,1.63,0.06,66.58,3.33,n/a,23.83,240,585,9.75,6.43
